text,label,language
robot can you now pull a move,do_a_trick,en
what should I eat today,no_meaning,en
champ if you can now go back just 4 step,go_back,en
alright go1 can you quickly straighten up,stand,en
listen go1 be a good dog and for me go forward precisely six paces,go_forward,en
yo robot go1 can you now go back about two steps,go_back,en
doggo can you for me go back about four meters,go_back,en
okay champ could you make a u-turn,turn_around,en
okay robot if you can now go back precisely 7 m,go_back,en
yo robot doggo can you for me go right precisely three step,go_right,en
please at once go left just seven meters,go_left,en
alright doggo can you at once go right about 9 m,go_right,en
pal champ please instantly sit and wait,sit,en
yo robot champ would you kindly now wow me,do_a_trick,en
yo friend can you instantly go forward exactly 2 meters,go_forward,en
hey champ will you instantly go left just 3 paces,go_left,en
robot can you today rest,sit,en
yo if you can today go right exactly 6 m,go_right,en
pal can you at once drop down,sit,en
yo robot be a good dog and right away go left just 10 steps,go_left,en
hey please now go left precisely 9 step,go_left,en
champ would you kindly go left 1 meters,go_left,en
ok friend can you instantly go left around 3 steps,go_left,en
okay can you now go back just 1 paces,go_back,en
alright robot instantly go forward precisely six m,go_forward,en
yo champ can you at once go forward seven steps,go_forward,en
ok friend will you instantly go right around four paces,go_right,en
alright doggo please for me go back six meters,go_back,en
yo robot without delay posture up,stand,en
pal robot can you right away go forward exactly six m,go_forward,en
buddy go1 can you right away go left 1 steps,go_left,en
listen if you can go left just 10 steps,go_left,en
hey doggo be a good dog and now surprise me,do_a_trick,en
Can you cook,no_meaning,en
will you without delay settle down,sit,en
ok doggo would you kindly instantly go right precisely 7 m,go_right,en
yo robot will you at once go left just six m,go_left,en
yo robot please right away surprise me,do_a_trick,en
H0w far is th3 m00n,no_meaning,en
ok go1 be a good dog and now stay low,sit,en
ok will you now down boy,sit,en
start recording,no_meaning,en
pal robot will you quickly spin around,turn_around,en
sing a song :),no_meaning,en
friend be a good dog and instantly go forward roughly 3 step,go_forward,en
pal friend will you quickly go right just ten paces,go_right,en
ok champ if you can go left roughly 7 step,go_left,en
doggo be a good dog and now plant yourself,sit,en
friend please now go left just 10 paces,go_left,en
alright go1 if you can quickly go left roughly three meters,go_left,en
pal go1 could you instantly go right exactly 8 m,go_right,en
yo champ will you right away go right just 2 steps,go_right,en
alright would you kindly instantly up on all fours,stand,en
yo robot doggo without delay on your feet,stand,en
increase the volume,no_meaning,en
champ please right away go back roughly 5 step,go_back,en
okay champ be a good dog and today upright,stand,en
okay go1 be a good dog and now show me talent,do_a_trick,en
buddy doggo will you right away go back just eight paces,go_back,en
yo robot instantly spin around,turn_around,en
alright go1 will you settle down,sit,en
ok robot would you kindly go back exactly one meters,go_back,en
hey if you can go back ten paces,go_back,en
ok if you can without delay park it,sit,en
okay friend could you right away surprise me,do_a_trick,en
pal doggo if you can at once go right roughly 6 m,go_right,en
ok robot if you can today go forward 8 m,go_forward,en
hey champ would you kindly quickly go right precisely 9 paces,go_right,en
listen champ could you at once go back around two steps,go_back,en
pal doggo can you go back four paces,go_back,en
okay champ if you can right away to your feet,stand,en
hey go1 be a good dog and for me go forward five paces,go_forward,en
pal champ without delay go right precisely 10 steps,go_right,en
alright doggo will you now up on all fours,stand,en
okay would you kindly come to attention,stand,en
pal friend if you can quickly get comfy,sit,en
alright champ for me sit still,sit,en
yo robot can you at once rotate completely,turn_around,en
yo robot could you for me go back around 8 paces,go_back,en
yo champ be a good dog and quickly show me a trick,do_a_trick,en
ok doggo right away go back about two paces,go_back,en
pal could you instantly get vertical,stand,en
good morning,no_meaning,en
hey robot be a good dog and instantly go back exactly 3 m,go_back,en
champ will you go left around 2 step,go_left,en
who won the game,no_meaning,en
ok robot can you at once go back precisely 6 steps,go_back,en
yo could you today perform something cool,do_a_trick,en
friend would you kindly now give me a flip,do_a_trick,en
alright friend be a good dog and go back roughly 3 paces,go_back,en
doggo would you kindly right away go forward exactly six paces,go_forward,en
listen doggo if you can right away go left 4 steps,go_left,en
ok champ please for me relax,sit,en
pal go1 will you right away be upright,stand,en
yo robot go1 today rotate around,turn_around,en
friend could you today go left eight step,go_left,en
ok friend can you without delay turn left,go_left,en
listen friend right away go forward two steps,go_forward,en
hey doggo be a good dog and quickly on your feet,stand,en
pal instantly go right around four paces,go_right,en
okay please today go back about eight m,go_back,en
yo robot doggo could you at once do a 180,turn_around,en
hey champ quickly go right precisely seven steps,go_right,en
pal friend be a good dog and quickly sit and wait,sit,en
okay champ right away make it fancy,do_a_trick,en
champ be a good dog and now go forward just 2 step,go_forward,en
alright could you instantly go back roughly five steps,go_back,en
buddy champ can you for me go left around 9 meters,go_left,en
okay would you kindly quickly about face,turn_around,en
robot be a good dog and today go right around nine meters,go_right,en
hey champ be a good dog and quickly go right just 10 step,go_right,en
buddy doggo could you today take a seat,sit,en
if you can right away go back just eight meters,go_back,en
pal go1 would you kindly today turn in a circle,turn_around,en
pal now impress me,do_a_trick,en
alright go1 quickly go left 8 m,go_left,en
alright champ be a good dog and without delay dance,do_a_trick,en
yo doggo can you without delay plant yourself,sit,en
yo robot doggo would you kindly quickly go left roughly 3 steps,go_left,en
yo robot robot can you instantly entertain me,do_a_trick,en
alright go1 be a good dog and without delay posture up,stand,en
yo robot robot will you at once give me a show,do_a_trick,en
pal if you can chill there,sit,en
go1 at once climb up,stand,en
g00dby3,no_meaning,en
doggo please today go back roughly 1 m,go_back,en
go1 be a good dog and today go back roughly 8 step,go_back,en
hey could you without delay posture up,stand,en
listen will you for me go back roughly 2 paces,go_back,en
hey friend would you kindly at once give me a flip,do_a_trick,en
ok robot now climb up,stand,en
hey friend could you right away go left roughly 7 paces,go_left,en
listen go1 could you right away show me a trick,do_a_trick,en
doggo if you can go forward exactly ten steps,go_forward,en
How's the weather today,no_meaning,en
okay friend could you right away turn around,turn_around,en
yo robot would you kindly now go left exactly 8 paces,go_left,en
okay please right away go back exactly 9 paces,go_back,en
alright friend if you can now rotate completely,turn_around,en
yo robot will you for me up on legs,stand,en
hey champ if you can today go back around 6 step,go_back,en
yo could you today go left roughly four meters,go_left,en
okay doggo could you now come upright,stand,en
hey robot could you right away make it fancy,do_a_trick,en
okay please right away go back precisely four step,go_back,en
hey friend could you right away go right roughly five paces,go_right,en
buddy robot if you can for me go back roughly three meters,go_back,en
buddy go1 would you kindly do a 180,turn_around,en
alright if you can instantly park it,sit,en
pal friend would you kindly quickly turn around,turn_around,en
ok robot would you kindly quickly go right roughly four step,go_right,en
buddy will you at once go back precisely 10 steps,go_back,en
ok go1 please at once make it fancy,do_a_trick,en
increase the volume,no_meaning,en
friend will you at once go right around 10 step,go_right,en
pal champ if you can for me go right roughly 7 m,go_right,en
alright friend please quickly stay low,sit,en
yo go1 will you for me go right three paces,go_right,en
repeat that!,no_meaning,en
What is machine learning,no_meaning,en
champ would you kindly at once go back around 4 paces,go_back,en
listen go1 please go right exactly 4 m,go_right,en
yo robot robot please for me go forward just 6 meters,go_forward,en
listen robot please quickly go right just 7 m,go_right,en
buddy champ would you kindly go back precisely 6 meters,go_back,en
listen would you kindly now go back roughly ten paces,go_back,en
open the door,no_meaning,en
yo friend if you can for me sit quietly,sit,en
listen robot can you quickly go right roughly four step,go_right,en
listen champ if you can now turn around,turn_around,en
okay champ can you without delay go right just 6 steps,go_right,en
yo robot friend can you right away spin and bow,do_a_trick,en
yo go1 if you can go left around 7 steps,go_left,en
hey doggo be a good dog and now sit still,sit,en
ok doggo please posture up,stand,en
champ can you today go forward just three step,go_forward,en
listen doggo would you kindly pivot,turn_around,en
pal champ please go left around two step,go_left,en
ok display skill,do_a_trick,en
alright go1 would you kindly quickly go left roughly 6 m,go_left,en
pal go1 be a good dog and relax,sit,en
pal go1 will you for me go forward about 1 meters,go_forward,en
buddy doggo please now act cool,do_a_trick,en
Goodbye,no_meaning,en
hey doggo will you now go left about 5 meters,go_left,en
hey friend will you for me go back about two meters,go_back,en
pal champ instantly act cool,do_a_trick,en
ok robot could you at once go left exactly 9 step,go_left,en
alright friend could you quickly come to attention,stand,en
alright please today park it,sit,en
doggo please right away do a 180,turn_around,en
yo robot doggo would you kindly now go forward two step,go_forward,en
do you know me,no_meaning,en
say hello,no_meaning,en
buddy champ please today go right around six m,go_right,en
go1 will you now go left about 7 paces,go_left,en
friend can you now rotate completely,turn_around,en
yo friend please today go back exactly six meters,go_back,en
buddy robot please quickly up on legs,stand,en
buddy doggo please today go right roughly 5 paces,go_right,en
pal now go forward around 9 paces,go_forward,en
hey robot display skill,do_a_trick,en
alright champ would you kindly right away turn around,turn_around,en
yo champ can you now spin in place,turn_around,en
listen doggo today go forward about six steps,go_forward,en
yo doggo will you today spin and bow,do_a_trick,en
friend will you quickly go forward just seven m,go_forward,en
pal friend will you at once rise up,stand,en
pal go1 right away flip around,turn_around,en
buddy robot be a good dog and at once rise,stand,en
okay go1 could you quickly sit still,sit,en
ok robot if you can at once climb up,stand,en
hey doggo can you quickly get comfy,sit,en
yo robot doggo will you instantly sit still,sit,en
yo robot quickly bottom down,sit,en
say hello?,no_meaning,en
hey go1 please today go right just five meters,go_right,en
alright champ be a good dog and today give me a flip,do_a_trick,en
yo friend will you instantly go right just eight step,go_right,en
ok please without delay go right exactly 1 step,go_right,en
listen go1 instantly rise up,stand,en
listen robot can you without delay go right precisely 6 paces,go_right,en
yo robot doggo please right away up on legs,stand,en
alright doggo will you without delay go forward about 7 meters,go_forward,en
listen robot please instantly go left exactly 9 meters,go_left,en
how many legs do you have,no_meaning,en
champ will you instantly get vertical,stand,en
listen if you can instantly settle down,sit,en
yo be a good dog and come to attention,stand,en
pal friend if you can today up you get,stand,en
pal robot today go left about 2 steps,go_left,en
robot if you can instantly go back just three m,go_back,en
listen friend if you can today go forward four steps,go_forward,en
okay go1 today rise up,stand,en
pal go1 could you right away do a 180,turn_around,en
what is AI,no_meaning,en
hey champ would you kindly for me turn in a circle,turn_around,en
buddy go1 could you without delay bottom down,sit,en
hey go1 can you today go left about 6 step,go_left,en
okay robot can you now go forward precisely 8 paces,go_forward,en
hey would you kindly right away go forward precisely seven meters,go_forward,en
describe yourself,no_meaning,en
champ be a good dog and for me go left about eight steps,go_left,en
okay champ can you quickly dance,do_a_trick,en
pal robot without delay go right around five paces,go_right,en
okay doggo would you kindly now go right 4 m,go_right,en
buddy robot would you kindly quickly do a 360,turn_around,en
yo could you for me bottom down,sit,en
alright doggo will you without delay rotate around,turn_around,en
hey doggo at once turn around,turn_around,en
yo robot champ can you right away go right just 4 paces,go_right,en
champ be a good dog and for me freestyle,do_a_trick,en
yo friend can you instantly go forward roughly 6 step,go_forward,en
buddy will you for me go back about two m,go_back,en
buddy champ would you kindly without delay go right precisely 10 m,go_right,en
ok robot could you quickly do a full turn,turn_around,en
alright go right exactly 6 m,go_right,en
robot can you quickly go left roughly 10 paces,go_left,en
go1 would you kindly quickly sit and wait,sit,en
Good night,no_meaning,en
ok friend quickly show off,do_a_trick,en
hey go1 without delay go forward around five step,go_forward,en
hey if you can at once rotate completely,turn_around,en
pal if you can at once go left about eight step,go_left,en
hey friend if you can quickly freestyle,do_a_trick,en
hey robot could you quickly go right roughly 6 steps,go_right,en
yo robot champ will you today go right just 1 meters,go_right,en
I am tired,no_meaning,en
yo robot instantly sit down,sit,en
yo doggo will you right away come to attention,stand,en
hey robot please right away rest,sit,en
ok doggo will you today go back just eight step,go_back,en
alright friend will you get up,stand,en
alright robot would you kindly right away plant yourself,sit,en
doggo could you instantly go right around eight paces,go_right,en
buddy if you can right away sit,sit,en
yo go1 will you now go right around 7 step,go_right,en
yo would you kindly today go right exactly one steps,go_right,en
hey champ without delay turn in a circle,turn_around,en
okay go1 can you quickly about face,turn_around,en
hey robot would you kindly at once go right around two m,go_right,en
yo robot champ will you for me go forward roughly three meters,go_forward,en
ok friend could you instantly dance,do_a_trick,en
yo robot robot could you at once go right five step,go_right,en
yo robot if you can spin and bow,do_a_trick,en
ok go1 be a good dog and instantly show off,do_a_trick,en
describe yourself,no_meaning,en
hey can you without delay perform something cool,do_a_trick,en
good night,no_meaning,en
go1 right away come upright,stand,en
yo doggo will you go left 9 paces,go_left,en
buddy friend would you kindly today go left about 8 m,go_left,en
friend will you at once turn around,turn_around,en
alright friend if you can lift yourself up,stand,en
okay robot please for me display skill,do_a_trick,en
alright champ please at once go back just 1 steps,go_back,en
hey friend could you instantly go right just nine steps,go_right,en
ok instantly go forward about three paces,go_forward,en
alright if you can right away dance,do_a_trick,en
yo robot go1 today climb up,stand,en
pal friend could you right away go right 9 paces,go_right,en
buddy if you can today go right around four paces,go_right,en
pal will you today go forward roughly 2 m,go_forward,en
pal champ will you now spin around,turn_around,en
buddy doggo can you go back two step,go_back,en
Where are you,no_meaning,en
buddy go1 be a good dog and for me spin in place,turn_around,en
listen doggo up you get,stand,en
ok robot could you come to attention,stand,en
ok now stay low,sit,en
buddy robot will you now go right precisely 8 meters,go_right,en
robot please for me go back roughly 3 meters,go_back,en
ok doggo if you can now turn in a circle,turn_around,en
yo robot friend will you rest for a moment,sit,en
hey champ can you have a seat,sit,en
alright robot would you kindly for me pivot,turn_around,en
pal champ will you for me stay low,sit,en
pal go1 can you without delay go forward about three m,go_forward,en
ok robot if you can right away go back precisely six step,go_back,en
yo robot doggo would you kindly for me do a 360,turn_around,en
yo robot go1 could you instantly sit,sit,en
yo robot friend will you today spin and bow,do_a_trick,en
pal champ would you kindly for me go right around nine paces,go_right,en
good night,no_meaning,en
pal go1 can you quickly go right precisely two paces,go_right,en
buddy robot can you now turn in a circle,turn_around,en
okay would you kindly at once go right just 5 steps,go_right,en
listen friend can you now go right roughly 7 m,go_right,en
sing a song,no_meaning,en
alright go1 quickly go right around 2 m,go_right,en
alright if you can today display skill,do_a_trick,en
yo be a good dog and quickly go forward 5 paces,go_forward,en
ok friend be a good dog and quickly go right roughly 5 steps,go_right,en
okay champ be a good dog and quickly go forward about 8 m,go_forward,en
yo robot robot will you today take a seat,sit,en
hey champ if you can at once go right exactly two step,go_right,en
buddy robot please at once rotate,turn_around,en
ok be a good dog and today spin around,turn_around,en
listen champ please at once take a seat,sit,en
yo go1 for me show me what you got,do_a_trick,en
Say something funny,no_meaning,en
listen quickly chill there,sit,en
buddy robot be a good dog and today posture up,stand,en
yo robot friend will you right away go left roughly ten m,go_left,en
can you cook!,no_meaning,en
hey go1 will you go forward around 4 steps,go_forward,en
hey go1 please for me upright,stand,en
hey please at once go back 5 step,go_back,en
doggo could you without delay go back ten meters,go_back,en
listen robot would you kindly at once go forward about four steps,go_forward,en
pal would you kindly today bottom down,sit,en
alright can you at once upright,stand,en
listen would you kindly quickly come to attention,stand,en
alright friend if you can for me go right 2 m,go_right,en
alright will you park it,sit,en
okay doggo if you can instantly go back just two steps,go_back,en
alright friend quickly straighten up,stand,en
alright friend will you quickly drop down,sit,en
pal friend now go left ten steps,go_left,en
yo robot please go back exactly 5 meters,go_back,en
listen robot please now go right exactly ten m,go_right,en
okay go1 at once go right one steps,go_right,en
okay friend be a good dog and instantly go left roughly eight step,go_left,en
hey champ would you kindly right away go right exactly eight steps,go_right,en
pal friend will you today sit still,sit,en
ok champ can you for me up on legs,stand,en
yo champ please today go back 4 steps,go_back,en
yo robot robot would you kindly without delay be upright,stand,en
champ will you quickly up on all fours,stand,en
yo champ go right around 7 m,go_right,en
yo champ could you without delay return back,go_back,en
okay robot will you now go right around four meters,go_right,en
pal doggo be a good dog and now show me talent,do_a_trick,en
hey go1 will you today come to attention,stand,en
pal would you kindly instantly go right just three step,go_right,en
pal friend would you kindly today turn around,turn_around,en
yo robot friend could you quickly go forward exactly four paces,go_forward,en
pal would you kindly now show off,do_a_trick,en
pal go1 will you go forward 3 steps,go_forward,en
buddy be a good dog and wow me,do_a_trick,en
yo go1 could you instantly go back just 3 paces,go_back,en
ok go1 be a good dog and now go left around one m,go_left,en
buddy champ could you today rise up,stand,en
ok could you climb up,stand,en
yo robot champ would you kindly now do a trick,do_a_trick,en
alright friend if you can right away settle down,sit,en
ok friend will you instantly sit still,sit,en
yo champ would you kindly today go left roughly ten m,go_left,en
listen champ if you can to your feet,stand,en
yo robot go1 will you right away do a 360,turn_around,en
go1 if you can today get vertical,stand,en
okay doggo if you can quickly spin and bow,do_a_trick,en
friend be a good dog and at once go left precisely nine steps,go_left,en
listen friend can you without delay sit please,sit,en
ok doggo can you at once go right about 9 paces,go_right,en
yo robot champ please perform something cool,do_a_trick,en
yo for me sit quietly,sit,en
okay friend can you without delay show me talent,do_a_trick,en
okay champ could you right away go right about four paces,go_right,en
doggo would you kindly go left 9 meters,go_left,en
alright go1 right away go back two meters,go_back,en
okay champ if you can without delay go left around three m,go_left,en
buddy go1 please at once go back around ten paces,go_back,en
yo robot robot will you now go left roughly 7 paces,go_left,en
yo go1 if you can for me do a full turn,turn_around,en
ok robot would you kindly at once go back around 7 steps,go_back,en
ok robot for me get vertical,stand,en
hey can you instantly come upright,stand,en
repeat that,no_meaning,en
okay be a good dog and at once sit down,sit,en
yo robot friend if you can today go right just six paces,go_right,en
pause the video,no_meaning,en
go1 if you can for me pull a move,do_a_trick,en
if you can right away go back roughly 5 step,go_back,en
navigate home,no_meaning,en
okay robot bottom down,sit,en
listen robot would you kindly right away go forward about four meters,go_forward,en
ok doggo please instantly flip around,turn_around,en
yo robot friend would you kindly quickly make a u-turn,turn_around,en
okay friend will you at once rotate,turn_around,en
alright doggo could you for me go left one paces,go_left,en
okay go1 can you right away climb up,stand,en
friend can you act cool,do_a_trick,en
yo robot doggo could you for me go forward exactly one m,go_forward,en
buddy friend could you now make it fancy,do_a_trick,en
how many legs do you have :),no_meaning,en
yo doggo would you kindly for me go left around 1 step,go_left,en
pal robot would you kindly at once go right exactly four paces,go_right,en
yo champ be a good dog and for me lift yourself up,stand,en
champ can you instantly go back roughly six paces,go_back,en
yo quickly go back about 6 meters,go_back,en
yo go1 please quickly spin in place,turn_around,en
hey if you can today go right precisely 6 steps,go_right,en
yo go1 can you for me show me a trick,do_a_trick,en
buddy doggo please right away dance,do_a_trick,en
listen friend now about face,turn_around,en
alright friend be a good dog and right away go left just four paces,go_left,en
listen friend will you without delay go back about one meters,go_back,en
buddy if you can without delay go forward 5 m,go_forward,en
yo go1 will you instantly go forward about 2 meters,go_forward,en
what is machine learning,no_meaning,en
buddy champ be a good dog and freestyle,do_a_trick,en
alright robot if you can today go forward 8 meters,go_forward,en
ok champ if you can today act cool,do_a_trick,en
stop talking,no_meaning,en
listen robot can you spin in place,turn_around,en
yo robot go1 will you without delay go forward exactly 10 paces,go_forward,en
ok please now go forward precisely six steps,go_forward,en
buddy go1 be a good dog and right away go back precisely 2 paces,go_back,en
okay robot please today rest,sit,en
listen would you kindly right away go left around 6 paces,go_left,en
yo robot champ if you can instantly go back just 10 meters,go_back,en
Repeat that,no_meaning,en
doggo can you for me go forward about 6 steps,go_forward,en
pal go1 will you without delay go right three step,go_right,en
buddy doggo if you can sit,sit,en
What's the news...,no_meaning,en
listen will you right away take a seat,sit,en
yo robot be a good dog and at once go right just one step,go_right,en
yo go1 instantly sit quietly,sit,en
okay robot could you at once rest for a moment,sit,en
listen doggo would you kindly quickly go left just ten step,go_left,en
what’s your purpose,no_meaning,en
okay champ please go right about 1 meters,go_right,en
robot be a good dog and wow me,do_a_trick,en
listen robot can you today go left just 4 meters,go_left,en
alright go1 right away go back roughly seven m,go_back,en
set a timer,no_meaning,en
pal could you at once chill there,sit,en
buddy go1 would you kindly now go right precisely 2 meters,go_right,en
pal would you kindly for me display skill,do_a_trick,en
hey go1 can you go right 9 m,go_right,en
pal robot be a good dog and right away do a 360,turn_around,en
buddy doggo will you today give me a show,do_a_trick,en
turn on the lights,no_meaning,en
buddy please instantly go back roughly three m,go_back,en
goodbye,no_meaning,en
where are you,no_meaning,en
say something funny!,no_meaning,en
buddy friend would you kindly without delay circle around,turn_around,en
pal if you can up you get,stand,en
okay go1 be a good dog and go left ten step,go_left,en
ok if you can right away go forward precisely one meters,go_forward,en
ok champ will you for me do a 180,turn_around,en
hey friend will you instantly rest for a moment,sit,en
Good night,no_meaning,en
ok go1 if you can for me go back about three m,go_back,en
yo robot robot will you at once go left 9 m,go_left,en
pal go1 for me have a seat,sit,en
doggo if you can instantly turn in a circle,turn_around,en
robot be a good dog and at once go left about five step,go_left,en
would you kindly at once go right just 8 paces,go_right,en
good morning,no_meaning,en
What should i eat today,no_meaning,en
hey friend if you can at once go left around 3 m,go_left,en
ok champ can you instantly down boy,sit,en
hey friend will you today spin in place,turn_around,en
buddy go1 please right away go forward around four meters,go_forward,en
set a timer...,no_meaning,en
pal friend can you quickly go back exactly 1 steps,go_back,en
okay doggo be a good dog and right away go back 5 steps,go_back,en
yo robot friend instantly make a u-turn,turn_around,en
okay please at once circle around,turn_around,en
yo robot doggo instantly spin in place,turn_around,en
if you can right away head left,go_left,en
buddy champ can you quickly go forward exactly 7 paces,go_forward,en
pal friend be a good dog and at once take a seat,sit,en
listen robot will you right away come upright,stand,en
yo friend will you quickly wow me,do_a_trick,en
alright friend up you get,stand,en
hey doggo could you now go right just three steps,go_right,en
robot quickly settle down,sit,en
buddy champ if you can instantly relax,sit,en
buddy friend please right away go back about seven paces,go_back,en
yo robot robot can you without delay do a 180,turn_around,en
yo doggo will you for me straighten up,stand,en
pal robot be a good dog and right away make a u-turn,turn_around,en
friend please without delay upright,stand,en
pal go1 if you can instantly do a 360,turn_around,en
hey doggo today entertain me,do_a_trick,en
ok go1 be a good dog and right away go left exactly 7 steps,go_left,en
alright doggo be a good dog and quickly posture up,stand,en
ok robot for me go left precisely three m,go_left,en
okay go1 please today go back three step,go_back,en
yo go1 will you right away about face,turn_around,en
listen robot quickly go left around 10 meters,go_left,en
G00d m0rning,no_meaning,en
yo robot robot if you can without delay rotate,turn_around,en
yo please for me go back around three step,go_back,en
pause the video?,no_meaning,en
yo champ would you kindly today park it,sit,en
hey instantly up on legs,stand,en
yo champ could you at once go forward around 10 step,go_forward,en
ok doggo can you right away go left exactly 8 meters,go_left,en
hey doggo if you can now go forward precisely four steps,go_forward,en
listen go1 if you can instantly rise up,stand,en
alright go1 will you without delay lift yourself up,stand,en
okay champ be a good dog and now go right around 2 steps,go_right,en
ok go1 would you kindly without delay go forward precisely 8 step,go_forward,en
yo go1 at once rotate completely,turn_around,en
pal doggo without delay go right about five steps,go_right,en
listen doggo without delay show off,do_a_trick,en
hey could you without delay go left 2 paces,go_left,en
champ now climb up,stand,en
robot can you without delay go back around two paces,go_back,en
tell me something interesting,no_meaning,en
alright go1 can you instantly wow me,do_a_trick,en
hey doggo could you today freestyle,do_a_trick,en
where are you,no_meaning,en
ok champ will you right away go left exactly ten steps,go_left,en
listen friend would you kindly quickly go forward exactly ten m,go_forward,en
alright go1 if you can quickly rise up,stand,en
doggo would you kindly quickly wow me,do_a_trick,en
buddy can you quickly go back around 7 steps,go_back,en
hey champ if you can rest for a moment,sit,en
hey champ can you today go left exactly nine m,go_left,en
buddy champ please for me flip around,turn_around,en
What is machine learning!,no_meaning,en
yo go1 will you at once go right just one step,go_right,en
hey robot for me go forward roughly six m,go_forward,en
buddy doggo would you kindly quickly go back roughly 9 steps,go_back,en
pal robot would you kindly at once sit,sit,en
yo robot robot be a good dog and right away sit and wait,sit,en
will you instantly go forward exactly ten m,go_forward,en
okay champ if you can at once go right about six paces,go_right,en
listen be a good dog and right away be upright,stand,en
listen be a good dog and go left roughly five step,go_left,en
okay friend will you now go right precisely 8 step,go_right,en
hey doggo will you quickly go left around three steps,go_left,en
alright go1 be a good dog and at once rest for a moment,sit,en
buddy can you right away walk back,go_back,en
yo doggo can you today go back just ten steps,go_back,en
ok friend would you kindly instantly lift yourself up,stand,en
buddy go1 be a good dog and today go right exactly 5 meters,go_right,en
alright doggo if you can now go back just 9 step,go_back,en
hey can you for me go forward exactly two m,go_forward,en
buddy doggo if you can now go left roughly three step,go_left,en
okay doggo be a good dog and right away make a u-turn,turn_around,en
goodbye,no_meaning,en
ok go1 would you kindly for me sit still,sit,en
what’s your purpose,no_meaning,en
yo doggo will you quickly go back roughly 9 paces,go_back,en
ok be a good dog and for me straighten up,stand,en
buddy champ please now do a trick,do_a_trick,en
alright robot would you kindly at once go forward around five m,go_forward,en
champ for me turn around,turn_around,en
hey doggo today go left roughly 2 meters,go_left,en
do you dream?,no_meaning,en
friend could you today turn in a circle,turn_around,en
hey robot now go right about six steps,go_right,en
Op3n th3 d00r,no_meaning,en
okay if you can today display skill,do_a_trick,en
What should i eat today,no_meaning,en
yo robot could you at once do a 180,turn_around,en
will you quickly go right 8 meters,go_right,en
ok friend please quickly settle down,sit,en
pal robot if you can for me up on all fours,stand,en
listen champ could you quickly go forward around 8 meters,go_forward,en
how far is the moon,no_meaning,en
go1 can you instantly go right just 2 m,go_right,en
hey friend be a good dog and without delay go back about five meters,go_back,en
okay if you can without delay down boy,sit,en
pal doggo please surprise me,do_a_trick,en
go1 instantly go left around two meters,go_left,en
yo robot champ can you for me do a trick,do_a_trick,en
pal robot can you right away pivot,turn_around,en
buddy robot sit please,sit,en
call mom,no_meaning,en
translate hello to Spanish?,no_meaning,en
buddy robot will you without delay go left precisely 2 m,go_left,en
yo doggo today rise up,stand,en
yo robot if you can instantly about face,turn_around,en
yo go1 would you kindly right away have a seat,sit,en
hey robot could you now go forward about 6 steps,go_forward,en
listen robot please instantly climb up,stand,en
hey be a good dog and right away go forward roughly 2 m,go_forward,en
ok go1 be a good dog and now push ahead,go_forward,en
okay robot for me go right precisely seven m,go_right,en
hey can you quickly go right seven m,go_right,en
ok friend can you at once go forward around 9 meters,go_forward,en
alright friend be a good dog and have a seat,sit,en
what is machine learning,no_meaning,en
ok if you can without delay head left,go_left,en
